"Variable name","Variable label"
"qb4_5ai_pro","Q.B4_5Ai Proportion - Films downloaded/streamed for free in the last 3 months"
"qb4_6","Q.B4_6 Number - paid Films previously downloaded or streamed for free in the last 3 months"
"qb4_6_pro","Q.B4_6 Proportion - paid Films previously downloaded or streamed for free"
"qb4_5b","Q.B4_5B Number - Films downloaded/streamed in the last 3 months already owned on DVD, Blu-Ray or VHS"
"qb4_5b_pro","Q.B4_5B Proportion - Films downloaded/streamed in the last 3 months already owned on DVD, Blu-Ray or VHS"
"qb4_5c","Q.B4_5C Number - Films downloaded/streamed in the last 3 months already seen at cinema or through TV service"
"qb4_5c_pro","Q.B4_5C Proportion - Films downloaded/streamed in the last 3 months already seen at cinema or through TV service"
"qb4_7b","Q.B4_7B Number - Paid Films downloaded or streamed legally in the last 3 months"
"qb4_7_pro_b1","Q.B4_7B Proportion - Paid films downloaded or streamed legally in the last 3 months"
"qb4_7","Q.B4_7 Number - free Films downloaded or streamed legally in the last 3 months"
"qb4_7_pro_a1","Q.B4_7 Proportion - free Films downloaded or streamed legally in the last 3 months"
"qb4_7b_t","Q.B4_7B_T Number - Total Films downloaded or streamed films legally in the last 3 months (Including paid illegal)"
"qb4_7_pro_b2","Q.B4_7B Proportion - Total films downloaded or streamed legally in the last 3 months (Including paid illegal)"
"qb4_7_t","Q.B4_7_T Number - Total Films downloaded or streamed films in the last 3 months (presuming paid as legal)"
"qb4_7_pro_a2","Q.B4_7 Proportion - Total Films downloaded or streamed legally in the last 3 months (presuming paid as legal)"
"qb4_3c","Q.B4_3C Number - Films shared in the last 3 months"
"qb4_3d","Q.B4_3D Number - Films bought or rented on DVD, Bluray or VHS in the last 3 months"
"qb4_8a_01flt_a","Q.B4_8A_01 Price Sensitivity - Films Download service - ú3"
"qb4_8a_02flt_a","Q.B4_8A_02 Price Sensitivity - Films Download service - ú5"
"qb4_8a_03flt_a","Q.B4_8A_03 Price Sensitivity - Films Download service - ú7.50"
"qb4_8a_04flt_a","Q.B4_8A_04 Price Sensitivity - Films Download service - ú10"
"qb4_8a_05flt_a","Q.B4_8A_05 Price Sensitivity - Films Download service - ú12.50"
"qb4_8a_01a","Q.B4_8A_01 Price Sensitivity - Films Download service - ú3"
"qb4_8a_02a","Q.B4_8A_02 Price Sensitivity - Films Download service - ú5"
"qb4_8a_03a","Q.B4_8A_03 Price Sensitivity - Films Download service - ú7.50"
"qb4_8a_04a","Q.B4_8A_04 Price Sensitivity - Films Download service - ú10"
"qb4_8a_05a","Q.B4_8A_05 Price Sensitivity - Films Download service - ú12.50"
"qb4_8a_01e","Q.B4_8A_01 Price Sensitivity - Films Download service - ú3"
"qb4_8a_02e","Q.B4_8A_02 Price Sensitivity - Films Download service - ú5"
"qb4_8a_03e","Q.B4_8A_03 Price Sensitivity - Films Download service - ú7.50"
"qb4_8a_04e","Q.B4_8A_04 Price Sensitivity - Films Download service - ú10"
"qb4_8a_05e","Q.B4_8A_05 Price Sensitivity - Films Download service - ú12.50"
"qb4_8a_01f","Q.B4_8A_01 Price Sensitivity - Films Download service - ú3"
"qb4_8a_02f","Q.B4_8A_02 Price Sensitivity - Films Download service - ú5"
"qb4_8a_03f","Q.B4_8A_03 Price Sensitivity - Films Download service - ú7.50"
"qb4_8a_04f","Q.B4_8A_04 Price Sensitivity - Films Download service - ú10"
"qb4_8a_05f","Q.B4_8A_05 Price Sensitivity - Films Download service - ú12.50"
"qb4_8b_01flt_a","Q.B4_8B_01 Price Sensitivity - Films Subscription service - ú4"
"qb4_8b_02flt_a","Q.B4_8B_02 Price Sensitivity - Films Subscription service - ú6"
"qb4_8b_03flt_a","Q.B4_8B_03 Price Sensitivity - Films Subscription service - ú8"
"qb4_8b_04flt_a","Q.B4_8B_04 Price Sensitivity - Films Subscription service - ú10"
"qb4_8b_05flt_a","Q.B4_8B_05 Price Sensitivity - Films Subscription service - ú12"
"qb4_8b_01a","Q.B4_8B_01 Price Sensitivity - Films Subscription service - ú4"
"qb4_8b_02a","Q.B4_8B_02 Price Sensitivity - Films Subscription service - ú6"
"qb4_8b_03a","Q.B4_8B_03 Price Sensitivity - Films Subscription service - ú8"
"qb4_8b_04a","Q.B4_8B_04 Price Sensitivity - Films Subscription service - ú10"
"qb4_8b_05a","Q.B4_8B_05 Price Sensitivity - Films Subscription service - ú12"
"qb4_8b_01e","Q.B4_8B_01 Price Sensitivity - Films Subscription service - ú4"
"qb4_8b_02e","Q.B4_8B_02 Price Sensitivity - Films Subscription service - ú6"
"qb4_8b_03e","Q.B4_8B_03 Price Sensitivity - Films Subscription service - ú8"
"qb4_8b_04e","Q.B4_8B_04 Price Sensitivity - Films Subscription service - ú10"
"qb4_8b_05e","Q.B4_8B_05 Price Sensitivity - Films Subscription service - ú12"
"qb4_8b_01f","Q.B4_8B_01 Price Sensitivity - Films Subscription service - ú4"
"qb4_8b_02f","Q.B4_8B_02 Price Sensitivity - Films Subscription service - ú6"
"qb4_8b_03f","Q.B4_8B_03 Price Sensitivity - Films Subscription service - ú8"
"qb4_8b_04f","Q.B4_8B_04 Price Sensitivity - Films Subscription service - ú10"
"qb4_8b_05f","Q.B4_8B_05 Price Sensitivity - Films Subscription service - ú12"
"qb5_1total","Q.B5_1TOTAL 3 month Spend - TV programmes total"
"qb5_1ai","Q.B5_1Ai 3 month Spend - TV programmes rented on DVD, Bluray, or VHS"
"qb5_1aii","Q.B5_1Aii 3 month Spend - TV programmes purchased on DVD, Bluray, or VHS"
"qb5_1aiv","Q.B5_1Aiv 3 month Spend - TV programmes bought or rented on DVD, Blu-ray or VHS"
"qb5_1av","Q.B5_1Av 3 month Spend - TV programmes merchandise e.g. T-shirts, Mugs, Posters"
"qb5_1aiii","Q.B5_1Aiii 3 month Spend - TV programmes downloaded or streamed using an internet connection"
"qb5_2a","Q.B5_2A Frequency of downloading - TV programmes"
"qb5_2b","Q.B5_2B Frequency of streaming - TV programmes"
"qb5_2c","Q.B5_2C Frequency of sharing - TV programmes"
"qb5_3total","Q.B5_3Total Number - TV programmes total in the last 3 months"
"qb5_3a","Q.B5_3A Number - TV programmes downloaded in the last 3 months"
"qb5_3b","Q.B5_3B Number - TV programmes streamed in the last 3 months"
"qb5_3ab","Q.B5_3A/B Number - TV programmes downloaded or streamed in the last 3 months"
"qb5_5a","Q.B5_5A Number - TV programmes downloaded/streamed in the last 3 months - Paid for"
"qb5_5a_pro","Q.B5_5A Proportion - TV programmes downloaded/streamed in the last 3 months paid for"
"qb5_5ai","Q.B5_5Ai Number - TV programmes downloaded/streamed for free in the last 3 months"
"qb5_5ai_pro","Q.B5_5Ai Proportion - Films downloaded/streamed for free in the last 3 months"
"qb5_6","Q.B5_6 Number - paid TV programmes previously downloaded or streamed for free in the last 3 months"
"qb5_6_pro","Q.B5_6 Proportion - paid TV programmes previously downloaded or streamed for free"
"qb5_5b","Q.B5_5B Number - TV programmes downloaded/streamed in the last 3 months already owned on DVD, Blu-Ray or VHS"
"qb5_5b_pro","Q.B5_5B Proportion - TV programmes downloaded/streamed in the last 3 months already owned on DVD, Blu-Ray or VHS"
"qb5_7","Q.B5_7 Number - free TV programmes downloaded or streamed legally in the last 3 months"
"qb5_7_t","Q.B5_7_T Number - Total TV programmes downloaded or streamed TV programmes legally in the last 3 months"
"qb5_7_pro_a","Q.B5_7 Proportion - free TV programmes downloaded or streamed legally in the last 3 months"
"qb5_7_pro_b","Q.B5_7 Proportion - Total TV programmes downloaded or streamed legally in the last 3 months"
"qb5_3c","Q.B5_3C Number - TV programmes shared in the last 3 months"
"qb5_3d","Q.B5_3D Number - TV programmes bought or rented on disc or cartridge in the last 3 months"
"qb6_1total","Q.B6_1TOTAL 3 month Spend - Books total"
"qb6_1ai","Q.B6_1Ai 3 month Spend - Books - paper copies"
"qb6_1aiii","Q.B6_1Aiii 3 month Spend - Books merchandise e.g. T-shirts, Mugs, posters"
"qb6_1aii","Q.B6_1Aii 3 month Spend - e-Books - digital copies downloaded"
"qb6_2a","Q.B6_2A Frequency of downloading - e-Books"
"qb6_2b","Q.B6_2B Frequency of accessing - e-Books"
"qb6_2c","Q.B6_2C Frequency of sharing - e-Books"
"qb6_3total","Q.B6_3Total Number - Books total in the last 3 months"
"qb6_3a","Q.B6_3A Number - e-Books downloaded in the last 3 months"
"qb6_3b","Q.B6_3B Number - e-Books accessed in the last 3 months"
"qb6_3ab","Q.B6_3A/B Number - e-Books downloaded or accessed in the last 3 months"
"qb6_5a","Q.B6_5A Number - e-Books downloaded/accessed in the last 3 months - Paid for"
"qb6_5a_pro","Q.B6_5A Proportion - e-Books downloaded/accessed in the last 3 months paid for"
